Year,June: BOB,June: AS,June: LAND,June: TOTAL,July: BOB,July: AS,July: LAND,July: TOTAL,August: BOB,August: AS,August: LAND,August: TOTAL,September: BOB,September: AS,September: LAND,September: TOTAL,June - September: BOB,June - September: AS,June - September: LAND,June - September: TOTAL
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
1997,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
1998,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2005,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2007,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
2019,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
